positive,so,that,means,tomorrow,cruda,segura,lol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neutral,tonight,peda,segura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
negative,eres,tan,mala,vieja,bruja,interesada,#jamming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neutral,yo,kiero,pretzels,lol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
negative,fuck,that,ni,ke,el,me,vaya,a,mantener,toda,la,vida,lol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
negative,i,always,tell,my,dad,ke,me,kiero,kasar,con,una,vieja,rika,and,me,regaña,telling,me,ke,no,sea,interesada,ha,,,,,,,,,,,,,,,,,,,
neutral,ke,me,compre,un,carrito,pa,irme,con,mis,friends,and,party,lol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neutral,why,can,i,just,find,a,rich,bitch,ke,me,mantenga,y,ya,ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,
negative,since,i,started,working,ya,ni,disfruto,la,vida,lol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
negative,my,dad,me,regano,cuzs,i,was,telling,that,to,my,brother,and,lo,andaba,molestando,lol,,,,,,,,,,,,,,,,,,,,,,,,,
positive,if,u,still,love,her,you,should,give,her,otro,chance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neutral,tengo,hungry,mhm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neutral,teachers,be,staring,at,me,like,im,high,they,gotta,accept,my,eyes,parecen,de,camaron,,,,,,,,,,,,,,,,,,,,,,,,,,
neutral,bien,fatass,ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neutral,@,lmao,yeah,sure,el,tuyo,parece,ke,te,lo,iso,un,lil,kid,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neutral,@,ha,do,n't,lie,los,mios,bolian,a,febrezee,xd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
positive,@,lo,levantaste,con,una,de,tus,bombas,lmao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
negative,i,'m,an,asshole,to,gabby,lol,ok,ya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
negative,@,actually,yo,me,bajaba,porke,te,echabas,unos,pedos,bien,apestosos,ke,no,aguantaba,fumigabas,todo,el,room,xd,,,,,,,,,,,,,,,,,,,,,,
positive,@,ha,u,know,is,true,parece,ke,te,esta,dando,un,atake,xd,,,,,,,,,,,,,,,,,,,,,,,,,,,,
positive,nobody,can,make,gabby,laugh,like,i,do,:victory_hand:,:face_with_tears_of_joy:,:grinning_squinting_face:,asta,parece,mongolita,lmao,,,,,,,,,,,,,,,,,,,,,,,,,,,
negative,@,ha,ratchet,as,n,xd,parece,u,al,revvez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
positive,gabby,is,just,saying,that,cuzs,i,gave,her,",",her,fav,gum,and,le,planche,sus,pelos,de,elote,lol,jk,jk,,,,,,,,,,,,,,,,,,,
neutral,should,i,give,oomf,the,candy,nawh,mejor,me,lo,como,yo,lol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neutral,i,was,gonna,buy,summ,spur,gumn,for,oomf,but,then,i,remembered,that,shes,on,a,diet,so,mejor,no,lol,,,,,,,,,,,,,,,,,,,,
neutral,cuzs,today,i,swear,i,'m,not,doing,anything,nothing,at,all,fui,fui,fui,,,,,,,,,,,,,,,,,,,,,,,,,,,
positive,manager,got,us,tacos,and,everyone,is,just,chilling,lol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
positive,the,hug,she,gave,me,en,la,morning,>>>>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neutral,is,your,name,sabado,cuzs,that,ass,is,gigante,lol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
negative,i,'m,the,type,of,person,that,would,get,drunk,af,do,stupid,shit,darme,unos,chingasos,call,or,text,my,crush,and,the,next,day,i,will,do,it,again,,,,,,,,,,,
positive,i,'m,just,hoping,my,crush,venga,today,:,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neutral,came,to,buy,a,torta,and,una,gordita,for,my,bro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
positive,hola,chikita,estoy,bien,buenote,kieres,ser,mi,novia,lmao,-,pañiaguas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
negative,@,nigga,my,tat,ai,n't,even,fucked,up,otra,cosa,ke,tu,no,saves,ni,leer,ha,,,,,,,,,,,,,,,,,,,,,,,,
positive,oomf,anda,de,buenas,pues,ke,abra,comido,lol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
negative,she,used,to,hate,barbacoa,but,it,was,just,cuzs,she,did,n't,knew,how,to,eat,it,the,right,way,ha,,,,,,,,,,,,,,,,,,,,
positive,i,was,eating,tacos,de,barbacoa,rn,and,me,akorde,de,oomf,lol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
