positive,@,es,q,con,lo,q,vienen,lo,encuentro,raro,baby,!,buenos,días,amor,mío,,,,,,,,,,,,,,,,,,,,,,,,,,
positive,no,supero,the,life,of,pablo,.,que,album,más,cabrón,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
positive,@,i,mean,eres,humana,..,.,si,no,tienes,go,to,a,doctor,,,,,,,,,,,,,,,,,,,,,,,,,,,,
positive,me,dises,tu,oh,me,entero,yo,de,todas,formas,!!!,:d,your,choice,...,,,,,,,,,,,,,,,,,,,,,,,,,,,
negative,all,over,again,:,de,nuevo,(,como,desde,el,principio,),i,failed,my,class,",",now,i,have,to,do,it,all,over,again,.,,,,,,,,,,,,,,,
positive,@,@,@,si,es,nene,se,puede,llamar,anibal,",",ese,nombre,esta,ready,:smirking_face:,",",les,doy,permiso,.,,,,,,,,,,,,,,,,,,,,,
negative,colores,#trending,#nude,de,mis,labiales,preferidos,#mac,#nyc,nyc,es,una,marca,mucho,más,…,,,,,,,,,,,,,,,,,,,,,,,,,,
neutral,*,joseando,pon,por,to,'as,partes,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
negative,voy,a,cumplir,0,años,a,principios,de,enero,.,wtf,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
positive,rt,@,:,no,es,mi,"""",type,"""",pero,me,vuelve,loca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
positive,“,@,:,@,habla,por,facetime,con,niña,que,padece,cáncer,terminal,”,queen,:smiling_face_with_heart-eyes:,,,,,,,,,,,,,,,,,,,,,,,,,,
positive,@,para,esl,pero,no,para,audio,de,la,vida,real,y,como,no,nos,entrenamos,no,entendemos,",",hope,i,explained,it,better,now,:],,,,,,,,,,,,,,,,
positive,@,lmfaooo,asi,estoy,.,desde,ayer,its,been,non,stop,eating,.,y,luego,i,get,late,night,craving,.,y,pura,junk,food,lol,,,,,,,,,,,,,,,,
positive,no,hay,pelicula,más,realista,que,0,going,on,0,:red_heart:,,tu,mejor,amigo,es,la,mejor,pareja,para,ti,y,no,quieres,nunca,llegar,a,los,0,!!,!!,!,,,,,,,,,,
neutral,we,are,not,locals,",",do,you,know,of,a,good,restaurant,around,here,?,(,do,you,know,of,",",no,olvidar,el,of,),,,,,,,,,,,,,,,,
positive,rt,@,:,nadie,te,lo,hace,tan,rico,",",tan,nice,como,yo,.,,,,,,,,,,,,,,,,,,,,,,,,,,,
neutral,set,loose,:,dejar,libre,:,did,you,hear,how,casey,anthony,was,set,loose,after,only,serving,one,year,in,jail,?,,,,,,,,,,,,,,,,,,,
positive,need,mojitos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
negative,porqué,la,gente,pita,?,que,annoying,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neutral,vatican,city,italy,-,rome,hasta,europa,viajó,melody,chase,y,@,fue,parte,del,outfit,en,el,viaje,!,,,,,,,,,,,,,,,,,,,,,,
positive,@,no,pq,solo,lo,escribí,aquí,..,tu,lo,otro,lo,tienes,en,sc,y,aquí,..,y,ya,mismo,lo,pones,en,fb,",",phhhoto,y,todo,eso,..,espel,,,,,,,,,,
positive,#repost,jesusfoto,with,repostapp,.,・・・,..,..,"""",las,tradiciones,en,algun,momento,",",no,eran,tradiciones,",…",,,,,,,,,,,,,,,,,,,,,,,
positive,@,lmao,estas,bien,:smiling_face:,?,osea,quieres,un,pelo,rojo,lmao,:face_with_tears_of_joy:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neutral,si,fuese,por,mi,regalaria,todo,mi,closet,solo,por,no,lavarla,ni,empacar,toda,la,que,quiero,,,,,,,,,,,,,,,,,,,,,,,,
negative,quién,puñeta,es,ese,",",the,fuck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
negative,yo,odio,las,personas,que,te,tuitean,"""",textea,"""",",",idiota,",",en,vez,de,tuitiarme,",",textéame,lo,que,me,quieres,decir,y,ya,gosh,,,,,,,,,,,,,,,
neutral,@,es,una,cosa,cabrona,!!,!,#nationalpencilday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neutral,por,tu,orden,de,compras,igual,o,mayor,a,0.0,recibe,un,#salhuagift,:shopping_bags:,#regalo,#allyouneedisecuador,,,,,,,,,,,,,,,,,,,,,,,,,,
neutral,he,añadido,un,vídeo,a,una,lista,de,reproducción,de,@,(,-,ya,ves,|,nery,godoy,&,kronno,zomber,,,,,,,,,,,,,,,,,,,,,
positive,tuitiar,a,esta,hr,all,alone,estoy,casi,seguro,que,se,puede,diagnosticar,como,"""",leve,esquizofrenia,"""",,,,,,,,,,,,,,,,,,,,,,,,
positive,corre,compra,tus,tickets,en,#alexsensationmiamibash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
positive,“,if,you,obey,all,the,rules,",",you,miss,all,the,fun,.,”,k,.,hepburn,#salhuaclothing,alistandonos,para,este,fin,de,semana,!,:rainbow:,,,,,,,,,,,,,,,
negative,el,vlog,de,hoy,aunque,sea,tarde,",",pequeñas,cenas,agradables,:,el,día,más,feliz,de,mi,vida,,,,,,,,,,,,,,,,,,,,,,,
negative,@,hola,.,gracias,por,su,interés,.,¿,es,usted,nuestro,cliente,en,verizon,wireless,?,~,mv,,,,,,,,,,,,,,,,,,,,,,,
negative,jealous,ella,!,@,:face_blowing_a_kiss:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
positive,diablo,lokish,cambias,más,de,jevo,que,de,panties,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
negative,rt,@,:,como,q,"""",not,charging,"""",??,?,ya,le,puse,el,cable,.,q,mas,quiere,?,vaselina,?,,,,,,,,,,,,,,,,,,,
positive,llegué,temprano,a,una,graduación,que,no,es,la,mía,",",woooow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neutral,@,jajajaaj,you,were,adorable,..,.,what,the,fuck,happened,?,;),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
negative,diana,",",por,q,no,nos,compartes,videos,más,fáciles,?,respuesta,:,repite,hasta,q,entiendas,.,if,you,think,u,can,or,u,think,you,can,n't,you,'re,right,,,,,,,,,,
positive,#osomiscoming,",",¿,eh,?,intelechante,..,.,muy,intelechante,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
positive,r&b,y,baking,with,@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
negative,daaaaaaaaamn,!!!!!!!,collazo,es,chingon,!!!!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
positive,rt,@,:,si,eres,el,#realjevo,me,encojono,",",si,no,pues,go,baby,goo,",",i,'m,okkk,:face_with_tears_of_joy:,:beaming_face_with_smiling_eyes:,,,,,,,,,,,,,,,,,,,,
neutral,@,le,digo,lol,!,de,todos,modos,yo,ya,subi,unas,cuantas,libras,haha,,,,,,,,,,,,,,,,,,,,,,,,,,,
positive,my,love,is,jealous,cause,i,came,to,get,tacos,w/o,her,!,muahahahahaha,#odiamemas,#tacos,#hungry,,,,,,,,,,,,,,,,,,,,,,,,,
negative,literal,tener,gastritis,me,hizo,rebajar,como,0,lbs,en,cero,tiempo,.,libras,que,tenía,in,all,the,right,places,:unamused_face:,,,,,,,,,,,,,,,,,,,,
negative,lmao,me,pase,de,verga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
positive,sony,vegas,??,@,pasate,al,premiere,!!,!,:d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
positive,rt,@,:,cuando,amaneces,el,sábado,con,un,hangover,tan,hijueputa,que,solo,abres,los,ojos,y,esperas,morir,.,,,,,,,,,,,,,,,,,,,,,
negative,bucket,list,:,acabar,un,chapstick,antes,de,perderlo,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neutral,@,ahhh,ya,entiendo,",",sabes,por,q,creo,q,escuchas,una,i,nuestra,?,porq,tiene,el,acento,ahí,",",,,,,,,,,,,,,,,,,,,,,
positive,"""",@,:,necesito,un,nap,laik,now,"""",x0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neutral,“,@,:,bath,&,body,works,llega,a,#puertorico,|,”,por,fin,!!,!,,,,,,,,,,,,,,,,,,,,,,,,,,
neutral,happy,monday,#elvacilondelagatita,#onair,#morningshow,mezcla,de,dj,koko,!,subelo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
negative,rt,@,:,cuando,le,dedicas,un,tierno,y,creativo,promposal,..,.,pero,te,dicen,que,no,#habichuelastiernas,#prom,?,,,,,,,,,,,,,,,,,,,,,
neutral,"""",@,:,:police_car_light:,:police_car_light:,:police_car_light:,taquillas,after,clase,0,asj,de,la,ghetto,y,mas,sorpresas,dm,dm,dm,:police_car_light:,:police_car_light:,:police_car_light:,"""",,,,,,,,,,,,,,,,,,
neutral,un,remember,de,las,instrucciones,",",que,veo,que,hay,algunos,despistados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
positive,la,gente,diciendo,que,extrañan,la,high,school,and,shit,.,yo,nunca,volvería,.,college,esta,muy,muy,por,encima,.,esto,es,otra,cosa,.,,,,,,,,,,,,,,,
positive,good,morning,zombers,!,ultimo,dia,de,descanso,y,a,volver,a,trabajar,!,^^,recordad,que,hoy,subo,un,challenge,!,,,,,,,,,,,,,,,,,,,,
neutral,¿,estás,en,la,cama,pero,quieres,checar,tu,cuenta,?,no,tienes,que,levantarte,y,sacar,tu,laptop,.,,,,,,,,,,,,,,,,,,,,,,
neutral,hgreg,0,nw,0,calle,en,el,doral,en,su,gran,venta,de,liquidación,..,.,,,,,,,,,,,,,,,,,,,,,,,,,,
negative,show,up,:,venir,.,do,you,know,where,jaime,is,?,he,did,n’t,show,up,for,work,this,morning,,,,,,,,,,,,,,,,,,,,,
positive,@,jajaja,me,di,cuenta,despues,que,i,scrolled,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
positive,breaking,rap,|,kronno,zomber,(,prod,.,por,brian,o,'donell,beats,),(,videocl,..,.,vía,@,,,,,,,,,,,,,,,,,,,,,,
negative,ignotizame,con,tu,flow,..,aki,solo,somos,tu,y,yo,!!!!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
positive,que,llegue,el,sábado,",",please,",",por,fa,',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
positive,rt,@,:,@,sin,bullying,no,hay,amistad,(,?,),:face_with_tears_of_joy:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
positive,rt,@,:,this,is,so,adorable,:red_heart:,,:red_heart:,,:red_heart:,,the,last,picture,:face_with_tears_of_joy:,..,.,there,'s,always,that,one,baby,:two_hearts:,,,,,,,,,,,,,,,,
positive,rt,@,:,#laisoftbol,¡¡,¡,mantienen,el,invicto,nuestras,juanas,",",al,mejorar,su,marca,en,la,lai,a,0-0,!!,!,#conlasangreverdecomot,ú,htt,…,,,,,,,,,,,,,,,
positive,en,realidad,no,necesito,el,premio,..,.,mi,mayor,logro,es,tener,esta,familia,de,zombers,y,si,el,premio,me,lo,dan,será,de,todos,vosotros,!,:smiling_face:,,:smiling_face:,:smiling_face_with_smiling_eyes:,:face_savoring_food:,,,,,,,,
positive,nuevos,cursos,imagen,modeling,by,la,gatita,.,para,informacion,y,open,house,",",registraciones,en,…,,,,,,,,,,,,,,,,,,,,,,,,,
