positive,So,means,tomorrow,cruda,segura,lol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neutral,Tonight,peda,segura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
negative,Eres,tan,mala,vieja,bruja,interesada,#jamming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neutral,Yo,kiero,Pretzels,lol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
negative,Fuck,ke,vaya,mantener,toda,vida,lol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
negative,I,always,tell,dad,ke,kiero,kasar,vieja,rika,regaña,telling,ke,interesada,,,,,,,,,,,,,,,,,,,,,,,,,,
neutral,Ke,compre,carrito,pa,irme,friends,party,lol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neutral,Why,I,find,rich,bitch,ke,mantenga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
negative,Since,I,started,working,disfruto,vida,lol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
negative,My,dad,regano,cuzs,I,telling,brother,andaba,molestando,lol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
positive,If,u,still,love,give,chance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neutral,Tengo,hungry,mhm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neutral,Teachers,staring,like,im,high,gotta,accept,eyes,parecen,camaron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neutral,Bien,fatass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neutral,@,lmao,yeah,sure,parece,ke,iso,lil,kid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neutral,@,n't,lie,mios,bolian,febrezee,xD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
positive,@,levantaste,bombas,lmao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
negative,I,'m,asshole,gabby,lol,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
negative,@,actually,bajaba,porke,echabas,pedos,bien,apestosos,ke,aguantaba,fumigabas,room,xD,,,,,,,,,,,,,,,,,,,,,,,,,,
positive,@,u,know,true,parece,ke,dando,atake,xD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
positive,Nobody,make,gabby,laugh,like,I,:victory_hand::face_with_tears_of_joy::grinning_squinting_face:,asta,parece,mongolita,lmao,,,,,,,,,,,,,,,,,,,,,,,,,,,,
negative,@,ratchet,N,xD,parece,u,revvez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
positive,Gabby,saying,cuzs,I,gave,",",fav,gum,planche,pelos,elote,lol,jk,jk,,,,,,,,,,,,,,,,,,,,,,,,,
neutral,Should,I,give,oomf,candy,nawh,mejor,lol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neutral,I,gonna,buy,summ,spur,gumn,oomf,I,remembered,shes,diet,mejor,lol,,,,,,,,,,,,,,,,,,,,,,,,,,
neutral,Cuzs,today,I,swear,I,'m,anything,nothing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
positive,Manager,got,us,tacos,everyone,chilling,lol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
positive,The,hug,gave,morning,>>>>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neutral,Is,name,sabado,cuzs,ass,gigante,lol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
negative,I,'m,type,person,would,get,drunk,af,stupid,shit,darme,chingasos,call,text,crush,next,day,,,,,,,,,,,,,,,,,,,,,,
positive,I,'m,hoping,crush,venga,today,:,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neutral,Came,buy,torta,gordita,bro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
positive,Hola,chikita,bien,buenote,kieres,ser,novia,lmao,-,Pañiaguas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
negative,@,Nigga,tat,ai,n't,even,fucked,cosa,ke,saves,leer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
positive,Oomf,anda,buenas,pues,ke,abra,comido,lol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
negative,She,used,hate,barbacoa,cuzs,n't,knew,eat,right,way,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
positive,I,eating,tacos,barbacoa,RN,akorde,oomf,lol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neutral,De,ke,kiero,kiero,pendeja,rogarte,?,Ha,ke,tan,Buena,;),,,,,,,,,,,,,,,,,,,,,,,,,,,
positive,She,'s,good,cuñada,lol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neutral,Just,woke,De,nap,w,itzayana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neutral,Kuando,vaya,LA,mexico,IMA,take,queen,::red_heart:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neutral,Chillin,apt,yazmin,lesly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neutral,This,guy,made,cookies,one,made,tamales,guy,made,cookies,another,guy,made,mole,girl,made,fresas,I,made,ensalda,De,pollo,,,,,,,,,,,,,,,,,
neutral,@,lol,ke,llevo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neutral,Tragando,tamales,class,lol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
positive,Bien,mexican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neutral,And,maybe,llevo,nohemi,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
